PO_ID,SUPPLIER_KEY,PRODUCT_KEY,WAREHOUSE_KEY,ORDER_QTY,RECEIVED_QTY,UNIT_COST,PO_AMOUNT,ORDER_DATE,PROMISED_DATE,RECEIVED_DATE
PO000020,SUP010,PRD0010,WH04,1174,1174,42.31,49671.94,2025/08/04,,08/23/2025
PO000021,SUP008,PRD0030,WH05,231,231,65.68,15172.08,2024-07-16,2024-07-27,07/25/2024
PO000022,SUP024,PRD0011,WH06,963,963,100.18,96473.34,2024-06-21,03-Jul-2024,2024-07-02
PO000023,SUP021,PRD0045,WH02,1335,1335,215.43,287599.05,2024-06-17,2024-07-07,2024-07-04
PO000024,SUP025,PRD0075,WH05,217,217,246.56,53503.52,,2025/09/26,09/26/2025
PO000025,SUP018,PRD0032,WH02,971,971,160.48,155826.08,2025-01-13,2025/02/23,2025-02-23
PO000026,SUP008,PRD0043,WH02,-100,897,$379.80,340680.6,2024-11-05,11/16/2024,
PO000027,SUP006,PRD0024,WH04,1036,1036,214.65,222377.4,2025-10-20,22-Nov-2025,2025-11-21
PO000028,SUP002,PRD0072,WH03,915,915,84.70,77500.5,2025/02/14,2025-03-05,03/05/2025
PO000029,SUP008,PRD0029,WH03,1275,1275,61.83,"$78,833.25",2025-09-10,21-Sep-2025,2025/09/18
PO000030,SUP013,PRD0009,WH05,1499,1499,129.79,194555.21,2025-10-31,2025-11-12,2025/11/11
PO000031,SUP017,PRD0080,WH02,439,,376.53,165296.67,2024-02-24,2024-03-04,2024-03-03
PO000032,SUP018,PRD0017,WH03,784,716,296.9,"232,769.60",2024-09-02,13-Oct-2024,2024-10-13
PO000033,SUP004,PRD0057,WH03,310,310,,19644.7,2025/05/14,29-May-2025,2025/05/29
PO000034,SUP004,PRD0012,WH05,1325,1325,75.81,"$100,448.25",06-Jul-2025,2025-07-21,2025-07-19
PO000035,SUP001,PRD0020,WH05,224,224,224.3,50243.2,2024-04-10,2024-04-22,2024-04-22
PO000036,SUP006,PRD0004,WH03,519,468,19.78,10265.82,2024-08-04,2024-09-06,09/28/2024
PO000037,SUP010,PRD0010,WH05,641,641,42.31,27120.71,2025-01-07,01/27/2025,2025-02-02
PO000038,SUP013,PRD0053,WH01,1325,1325,241.84,320438.0,2025-06-27,2025-07-09,2025-07-08
PO000039,SUP018,PRD0016,WH03,753,585,234.54,176608.62,2024/03/17,2024-04-27,
PO000040,SUP008,PRD0043,WH05,1191,1191,379.8,452341.8,12-Feb-2025,23-Feb-2025,2025/02/22
PO000041,SUP014,PRD0039,WH04,577,577,208.12,120085.24,2024/07/20,08/13/2024,2024-08-13
PO000042,SUP024,PRD0079,WH04,1294,"1,294",$124.03,"$160,494.82",27-May-2024,2024-06-08,2024-06-06
PO000043,SUP001,PRD0020,WH04,,820,224.3,"$183,926.00",2024-12-16,2024/12/28,2025-01-20
PO000044,SUP006,PRD0004,WH04,1000,761,19.78,19780.0,2024-10-08,10-Nov-2024,2024-11-30
PO000045,SUP001,PRD0023,WH05,"1,471","1,471",48.11,"70,769.81",2025-03-08,2025-03-20,2025-03-20
PO000046,SUP002,PRD0076,WH02,402,402,354.24,142404.48,2024-08-03,2024-08-22,2024-09-05
PO000047,SUP003,PRD0054,WH05,280,280,39.65,11102.0,2025/07/13,2025-08-17,16-Aug-2025
PO000048,SUP019,PRD0046,WH02,63,63,84.95,5351.85,2024-02-23,2024-03-29,
PO000049,SUP003,PRD0002,WH02,950,683,270.53,"257,003.50",2025-08-09,09/13/2025,2025-09-12
PO000050,SUP013,PRD0014,WH02,894,894,61.84,55284.96,2024-01-21,2024-02-02,2024-02-02
PO000051,SUP021,PRD0005,WH03,1227,1160,$324.26,397867.02,2025-05-15,2025/06/04,2025-06-04
PO000052,SUP001,PRD0062,WH02,282,282,184.46,52017.72,2024-08-23,2024-09-04,04-Sep-2024
PO000053,SUP018,PRD0016,WH02,324,235,$234.54,75990.96,2024-09-17,2024-10-28,2024-11-12
PO000054,SUP022,PRD0037,WH01,1070,1070,361.55,"$386,858.50",13-Jan-2024,2024-01-22,2024-01-20
PO000055,SUP013,PRD0053,WH04,294,294,241.84,"$71,100.96",04/22/2025,2025-05-04,04-May-2025
PO000056,SUP017,PRD0080,WH03,366,366,$376.53,137809.98,22-Apr-2024,2024-05-01,2024-04-29
PO000057,SUP004,PRD0021,WH05,113,113,170.55,19272.15,2025-03-24,2025-04-08,2025-04-08
PO000058,SUP013,PRD0053,WH05,1067,1067,241.84,258043.28,2025-05-08,2025-05-20,05/20/2025
PO000059,SUP018,PRD0017,WH02,346,260,$296.90,102727.4,2025-07-28,2025-09-07,2025/09/04
PO000060,SUP008,PRD0006,WH02,755,755,208.45,"$157,379.75",2025-04-26,2025-05-07,05/07/2025
PO000061,SUP003,PRD0077,WH03,1267,1102,77.5,98192.5,2024/07/24,2024/08/28,2024-09-08
PO000062,SUP017,PRD0026,WH04,680,999999,347.66,236408.8,,05/26/2025,2025-05-26
PO000063,SUP020,PRD0059,WH04,60,42,$194.35,11661.0,2025-07-15,2025-08-24,2025-08-21
PO000064,SUP012,PRD0063,WH04,337,337,179.71,60562.27,2024-08-03,2024-08-13,2024-08-10
PO000065,SUP001,PRD0062,WH02,1156,1156,$184.46,213235.76,2024-03-25,2024-04-06,2024/04/06
PO000066,SUP024,PRD0018,WH01,627,627,,"$101,599.08",28-Aug-2025,2025-09-09,08-Sep-2025
PO000067,SUP005,PRD0013,WH06,1254,1254,$127.58,159985.32,2024-04-10,2024/04/22,2024-04-22
PO000068,SUP012,PRD0052,WH06,661,661,211.44,139761.84,2025-02-07,2025-02-17,2025/02/17
PO000069,SUP001,PRD0062,WH01,448,448,184.46,82638.08,2024-06-09,2024/06/21,2024-06-20
PO000070,SUP004,PRD0057,WH04,130,130,63.37,"$8,238.10",2024-03-26,2024-04-10,2024/04/09
PO000071,SUP010,PRD0058,WH01,260,218,293.23,76239.8,2025-06-11,2025-07-01,06/29/2025
PO000072,SUP024,PRD0079,WH04,450,450,124.03,"$55,813.50",04/07/2024,2024-04-19,17-Apr-2024
PO000073,SUP002,PRD0031,WH02,706,706,73.98,52229.88,2025-03-31,2025-04-19,2025-04-16
PO000074,SUP003,PRD0048,WH06,757,757,374.7,283647.9,04/16/2025,2025-05-21,2025-05-19
PO000075,SUP013,PRD0009,WH03,302,302,129.79,39196.58,2024-02-10,2024-02-22,02/22/2024
PO000076,SUP002,PRD0035,WH03,1402,1402,$152.58,213917.16,2024-04-27,2024-05-16,2024-05-16
PO000077,SUP010,PRD0042,WH05,1409,1409,134.36,189313.24,06/24/2025,2025-07-14,2025-07-13
PO000078,SUP017,PRD0066,WH03,548,548,261.8,143466.4,10-Dec-2024,2024-12-19,12/19/2024
PO000079,SUP010,PRD0010,WH06,1049,1049,$42.31,44383.19,2024-03-23,12-Apr-2024,04/09/2024
PO000080,SUP021,PRD0049,WH05,866,866,239.5,207407.0,2025/11/05,2025-11-25,03-Dec-2025
PO000081,SUP020,PRD0055,WH01,1246,1246,270.14,"$336,594.44",06/29/2024,2024-08-08,2024-08-07
PO000082,SUP001,PRD0069,WH01,,789,25.4,"20,040.60",2024/01/03,2024-01-15,01/14/2024
PO000083,SUP002,PRD0028,WH02,1142,835,239.8,273851.6,2025-09-20,2025-10-09,2025/10/09
PO000084,SUP003,PRD0002,WH06,1161,1161,270.53,314085.33,2024-01-12,02/16/2024,2024-03-08
PO000085,SUP022,PRD0033,WH04,494,,341.2,"168,552.80",2025-01-11,2025-01-20,2025-01-19
PO000086,SUP004,PRD0021,WH04,110,110,170.55,18760.5,2025-11-06,2025-11-21,11/20/2025
PO000087,SUP010,PRD0010,WH02,1466,1466,42.31,62026.46,2025-01-27,2025-02-16,2025-03-02
PO000088,SUP025,PRD0075,WH02,742,742,246.56,"$182,947.52",2025-02-01,,2025/02/09
PO000089,SUP020,PRD0078,WH04,107,107,256.38,27432.66,2024/09/20,2024-10-30,2024-10-27
PO000090,SUP002,PRD0028,WH06,866,866,239.8,207666.8,2024-03-27,2024-04-15,12-Apr-2024
PO000091,SUP018,PRD0060,WH06,1260,1046,,479707.2,,03/06/2025,2025-03-04
PO000092,SUP004,PRD0047,WH06,1004,1004,247.68,"248,670.72",2025/09/02,2025-09-17,09/14/2025
PO000093,SUP024,PRD0079,WH03,141,141,124.03,17488.23,02-Mar-2024,2024/03/14,2024-03-11
PO000094,SUP006,PRD0034,WH02,-100,710,103.51,73492.1,2025-08-21,2025-09-23,2025-10-03
PO000095,SUP024,PRD0079,WH06,232,232,124.03,28774.96,2024-10-09,2024-10-21,2024/10/20
PO000096,SUP021,PRD0049,WH04,581,581,239.5,139149.5,2024-12-30,19-Jan-2025,2025-01-18
PO000097,SUP001,PRD0020,WH01,1088,1088,224.3,,04/22/2024,2024-05-04,03-May-2024
PO000098,SUP004,PRD0057,WH06,302,302,63.37,19137.74,2025-02-26,2025-03-13,2025-03-12
PO000099,SUP001,PRD0020,WH02,,781,224.3,175178.3,2024-05-04,05/16/2024,13-May-2024
PO000100,SUP021,PRD0036,WH04,54,54,25.52,1378.08,07/04/2024,07/24/2024,07/23/2024
PO000101,SUP002,PRD0028,WH01,82,82,239.8,19663.6,2025-05-05,2025-05-24,2025-06-03
PO000102,SUP022,PRD0037,WH06,932,932,361.55,336964.6,2024/02/04,2024-02-13,2024-02-12
PO000103,SUP018,PRD0060,WH01,"1,326",1086,380.72,504834.72,10/31/2024,2024-12-11,2024-12-17
PO000104,SUP024,PRD0022,WH03,-100,837,322.72,"270,116.64",08-Feb-2025,2025-02-20,2025-02-17
PO000105,SUP020,PRD0056,WH02,715,715,$111.86,79979.9,30-Mar-2024,09-May-2024,2024-05-07
PO000106,SUP012,PRD0052,WH01,"1,398",1398,211.44,295593.12,19-Jul-2024,2024-07-29,2024-07-27
PO000107,SUP018,PRD0060,WH01,405,383,380.72,154191.6,08/21/2024,2024-10-01,10/01/2024
PO000108,SUP017,PRD0026,WH03,593,593,347.66,206162.38,2025-03-27,04/05/2025,2025-04-02
PO000109,SUP006,PRD0027,WH02,198,198,299.68,"$59,336.64",2025-10-26,2025-11-28,2025-11-26
PO000110,SUP006,PRD0070,WH01,746,746,340.52,254027.92,2025/07/22,2025-08-24,2025-08-22
PO000111,SUP025,PRD0075,WH01,329,329,246.56,"$81,118.24",,2024-05-19,2024-05-17
PO000112,SUP020,PRD0078,WH05,638,638,256.38,163570.44,2024-01-13,2024-02-22,2024-03-01
PO000113,SUP016,PRD0061,WH05,317,317,53.16,16851.72,2024-02-05,2024-02-24,02/23/2024
PO000114,SUP004,PRD0057,WH03,251,251,63.37,15905.87,02/09/2025,2025-02-24,02/22/2025
PO000115,SUP013,PRD0009,WH02,718,718,129.79,93189.22,2024-04-16,2024-04-28,04/28/2024
PO000116,SUP006,PRD0004,WH04,199,,19.78,3936.22,2024-06-06,2024-07-09,2024-07-08
PO000117,SUP013,PRD0053,WH01,1215,1215,241.84,293835.6,2025-07-30,2025-08-11,08/08/2025
PO000118,SUP004,PRD0047,WH06,663,663,$247.68,"$164,211.84",2025-08-17,2025-09-01,08/30/2025
PO000119,SUP010,PRD0042,WH02,898,898,134.36,120655.28,2025-07-24,2025-08-13,2025-08-11
PO000120,SUP006,PRD0070,WH06,122,122,340.52,41543.44,2024/06/21,2024-07-24,22-Jul-2024
PO000121,SUP002,PRD0072,WH06,761,712,84.7,64456.7,2025-02-25,2025-03-16,2025-03-22
PO000122,SUP003,PRD0048,WH05,603,516,374.7,225944.1,19-Feb-2025,2025-03-26,
PO000123,SUP025,PRD0075,WH05,1110,1110,246.56,273681.6,2024-05-05,2024-05-15,2024/05/14
PO000124,SUP006,PRD0027,WH02,598,598,$299.68,179208.64,2025-01-11,13-Feb-2025,2025-02-20
PO000125,SUP012,PRD0063,WH01,854,854,,153472.34,2024-12-23,2025-01-02,2025-01-01
PO000126,SUP012,PRD0041,WH04,700,700,169.67,118769.0,26-Sep-2024,2024-10-06,2024-10-05
PO000127,SUP018,PRD0032,WH05,896,685,160.48,143790.08,26-May-2025,2025-07-06,07/30/2025
PO000128,SUP017,PRD0026,WH02,853,853,347.66,296553.98,2025-04-05,2025-04-14,2025-04-13
PO000129,SUP016,PRD0061,WH05,67,67,$53.16,3561.72,12/28/2024,,2025-01-13
PO000130,SUP006,PRD9999,WH06,316,316,19.78,"6,250.48",2025/05/08,10-Jun-2025,2025-06-10
PO000131,SUP002,PRD0031,WH03,553,553,73.98,40910.94,2025-06-02,06/21/2025,2025-06-21
PO000132,SUP020,PRD0056,WH03,108,87,111.86,12080.88,20-Jan-2025,2025-03-01,28-Feb-2025
PO000133,SUP001,PRD0062,WH02,969,969,184.46,178741.74,2024-07-01,2024-07-13,2024-07-13
PO000134,SUP008,PRD0029,WH01,262,262,61.83,"$16,199.46",2025-05-30,2025-06-10,2025-06-09
PO000135,SUP004,PRD0021,WH06,548,548,170.55,93461.4,2025-05-02,2025-05-17,2025-05-14
PO000136,SUP004,PRD0021,WH05,283,283,170.55,48265.65,30-Oct-2025,2025-11-14,12-Nov-2025
PO000137,SUP001,PRD0023,WH05,1015,1015,,48831.65,2024-04-11,04/23/2024,2024-04-22
PO000138,SUP017,PRD0019,WH02,111,111,382.47,42454.17,2024/10/12,2024-10-21,2024-10-20
PO000139,SUP004,PRD0057,WH04,150,150,63.37,9505.5,2025-09-20,05-Oct-2025,03-Oct-2025
PO000140,SUP016,PRD0061,WH05,345,311,53.16,18340.2,2024-12-15,2025-01-03,2025-01-03
PO000141,SUP008,PRD0043,WH04,1361,1361,379.8,516907.8,2025-10-02,2025-10-13,2025-10-13
PO000142,SUP016,PRD0051,WH04,577,577,72.66,41924.82,2024/01/09,2024-01-28,2024-01-27
PO000143,SUP006,PRD0034,WH04,256,,103.51,26498.56,2024-01-24,2024-02-26,02/26/2024
PO000144,SUP002,PRD0035,WH06,1186,1186,$152.58,180959.88,06/25/2025,2025-07-14,07/12/2025
PO000145,SUP003,PRD0002,WH02,1495,1495,$270.53,404442.35,31-Aug-2024,2024-10-05,10/03/2024
PO000146,SUP003,PRD0048,WH04,1038,1038,374.7,388938.6,2024/12/19,2025-01-23,2025-02-06
PO000147,SUP020,PRD0059,WH05,1252,1252,194.35,243326.2,2024-10-18,2024/11/27,2024-11-26
PO000148,SUP008,PRD0065,WH05,323,323,335.57,,2024/10/04,15-Oct-2024,2024-10-15
PO000149,SUP021,PRD0005,WH05,326,326,324.26,105708.76,2025-09-30,2025-10-20,2025-10-17
PO000150,SUP006,PRD0024,WH06,612,505,$214.65,131365.8,2024/03/04,04/06/2024,2024-04-04
PO000151,SUP010,PRD0010,WH03,502,502,42.31,21239.62,06/09/2025,2025-06-29,06/27/2025
PO000152,SUP008,PRD0030,WH05,1038,1038,65.68,68175.84,27-Aug-2025,2025-09-07,2025-09-06
PO000153,SUP024,PRD0050,WH03,851,851,105.09,"$89,431.59",2025-03-23,04/04/2025,2025-04-01
PO000154,SUP012,PRD0041,WH03,378,378,169.67,64135.26,2024-09-25,2024-10-05,
PO000155,SUP002,PRD0072,WH02,530,530,84.7,44891.0,2024/04/18,,2024-05-06
PO000156,SUP004,PRD0057,WH05,95,70,63.37,6020.15,2025-04-09,24-Apr-2025,2025-04-22
PO000157,SUP006,PRD0004,WH03,759,532,$19.78,15013.02,2024-11-14,12/17/2024,2024-12-17
PO000158,SUP019,PRD0074,WH06,1428,1357,81.25,"116,025.00",2024/04/11,2024-05-16,2024-05-16
PO000159,SUP004,PRD0012,WH04,692,692,75.81,52460.52,2024-09-01,16-Sep-2024,2024-09-13
PO000160,SUP017,PRD0026,WH03,183,183,347.66,63621.78,2025/10/15,2025-10-24,2025-10-22
PO000161,SUP014,PRD0039,WH02,275,275,208.12,57233.0,2024-06-29,2024-07-23,2024-08-11
PO000162,SUP002,PRD0031,WH05,1121,866,73.98,82931.58,2024-05-01,2024/05/20,2024-05-17
PO000163,SUP001,PRD0020,WH05,829,829,224.3,185944.7,04/08/2025,2025-04-20,04/19/2025
PO000164,SUP008,PRD0006,WH01,1133,1133,$208.45,"236,173.85",2024-05-15,05/26/2024,2024-05-25
PO000165,SUP003,PRD0077,WH06,308,231,77.5,23870.0,2025-09-17,2025-10-22,2025-10-19
PO000166,SUP024,PRD0011,WH01,210,210,$100.18,21037.8,08/07/2025,2025-08-19,2025-08-18
PO000167,SUP016,PRD0061,WH05,1224,1224,$53.16,"65,067.84",2025-10-30,2025-11-18,2025-11-16
PO000168,SUP020,PRD0038,WH01,190,190,258.78,"$49,168.20",2025-09-12,2025-10-22,2025-10-21
PO000169,SUP012,PRD0052,WH01,351,351,$211.44,74215.44,2024-06-14,2024-06-24,24-Jun-2024
PO000170,SUP021,PRD0005,WH01,703,703,324.26,227954.78,2024-05-24,06/13/2024,2024-06-10
PO000171,SUP013,PRD0053,WH06,50,50,,12092.0,2024-08-20,2024-09-01,2024-08-29
PO000172,SUP025,PRD0075,WH03,1373,"1,373",$246.56,338526.88,2024-11-15,2024-11-25,2024-11-23
PO000173,SUP017,PRD0066,WH01,1131,1131,261.8,296095.8,2025/08/21,30-Aug-2025,2025-08-29
PO000174,SUP019,PRD0074,WH04,518,397,81.25,"42,087.50",2025-05-13,2025-06-17,2025-06-17
PO000175,SUP019,PRD0074,WH06,84,84,81.25,6825.0,03/14/2025,2025-04-18,2025-04-15
PO000176,SUP005,PRD0068,WH02,213,213,364.7,77681.1,2025-08-20,2025-09-01,2025-08-31
PO000177,SUP002,PRD0028,WH06,294,294,239.8,70501.2,2025-03-15,2025-04-03,2025-03-31
PO000178,SUP006,PRD0070,WH05,196,196,340.52,"$66,741.92",2024-09-14,2024-10-17,2024-10-30
PO000179,SUP005,PRD0007,WH03,209,156,22.74,4752.66,2024/10/07,10/19/2024,2024-10-17
PO000180,SUP014,PRD0039,WH02,876,876,,182313.12,2024-12-17,2025-01-10,01/09/2025
PO000181,SUP001,PRD0023,WH02,1026,1026,48.11,"$49,360.86",2024-03-01,2024-03-13,2024/03/11
PO000182,SUP001,PRD0069,WH06,337,337,25.40,8559.8,2025-05-19,2025/05/31,2025-05-28
PO000183,SUP024,PRD0071,WH05,1270,1270,309.98,393674.6,2025-03-19,2025-03-31,03/29/2025
PO000184,SUP005,PRD0068,WH03,1140,1140,364.7,415758.0,2025-05-12,2025-05-24,2025-05-22
PO000185,SUP024,PRD0018,WH04,51,43,162.04,8264.04,2024-12-29,2025-01-10,2025-01-09
PO000186,SUP003,PRD0002,WH04,848,848,$270.53,"$229,409.44",16-Jun-2025,2025-07-21,2025-07-25
PO000187,SUP021,PRD0005,WH06,1022,1022,324.26,,2025-10-07,2025-10-27,27-Oct-2025
PO000188,SUP002,PRD0072,WH02,557,557,84.7,47177.9,2025-01-22,02/10/2025,08-Feb-2025
PO000189,SUP017,PRD0019,WH04,488,488,382.47,186645.36,2024-10-29,2024-11-07,2024/11/07
PO000190,SUP002,PRD0028,WH05,1397,1397,239.8,"335,000.60",2024/03/12,2024-03-31,2024-03-29
PO000191,SUP016,PRD0051,WH01,1402,1402,72.66,101869.32,2025/06/13,2025-07-02,
PO000192,SUP024,PRD0050,WH04,331,331,105.09,34784.79,09/06/2025,09/18/2025,2025-09-17
PO000193,SUP021,PRD0005,WH01,776,611,324.26,251625.76,20-Apr-2025,2025-05-10,2025-05-09
PO000194,SUP021,PRD0001,WH01,1031,931,358.98,"$370,108.38",08/11/2025,08/31/2025,09/16/2025
PO000195,SUP020,PRD0038,WH05,520,464,$258.78,134565.6,2025-08-08,2025-09-17,2025-09-16
PO000196,SUP021,PRD0036,WH06,477,477,25.52,12173.04,2025-06-26,16-Jul-2025,2025-07-13
PO000197,SUP002,PRD0076,WH04,1197,1197,354.24,424025.28,12/07/2024,26-Dec-2024,2024-12-25
PO000198,SUP019,PRD0046,WH01,968,785,84.95,82231.6,2024-03-08,2024/04/12,2024-04-09
PO000199,SUP004,PRD0015,WH04,820,820,272.68,223597.6,2024-01-03,2024-01-18,2024-01-18
PO000200,SUP006,PRD0024,WH06,844,844,,181164.6,2024-05-18,2024-06-20,2024-07-05
PO000201,SUP008,PRD0006,WH01,672,672,208.45,140078.4,2024-10-20,31-Oct-2024,30-Oct-2024
PO000202,SUP021,PRD0049,WH01,465,465,,111367.5,2025-05-20,2025-06-09,2025/06/09
PO000203,SUP021,PRD0036,WH04,688,594,25.52,17557.76,2024-11-05,2024-11-25,2024-11-22
PO000204,SUP024,PRD0079,WH01,502,502,124.03,62263.06,2024-01-16,28-Jan-2024,26-Jan-2024
PO000205,SUP013,PRD0014,WH04,931,,61.84,"$57,573.04",2024-05-23,04-Jun-2024,06/04/2024
PO000206,SUP024,PRD0050,WH05,490,490,105.09,51494.1,2025/10/27,2025-11-08,2025-11-07
PO000207,SUP020,PRD0059,WH02,153,153,194.35,29735.55,2025-11-02,2025-12-12,2025-12-09
PO000208,SUP006,PRD0034,WH05,1081,1081,103.51,111894.31,2024-09-13,2024/10/16,2024-10-13
PO000209,SUP004,PRD0015,WH04,1205,1205,272.68,328579.4,2025-07-01,2025-07-16,2025-07-13
PO000210,SUP021,PRD0005,WH03,379,379,324.26,122894.54,2025-05-04,24-May-2025,2025/05/24
PO000211,SUP017,PRD0066,WH01,314,314,261.8,82205.2,09/25/2025,2025-10-04,2025-10-02
PO000212,SUP024,PRD0011,WH03,572,572,100.18,57302.96,2025-08-26,2025-09-07,09/04/2025
PO000213,SUP003,PRD0077,WH02,1209,1209,77.5,93697.5,2025-03-03,2025-04-07,2025-04-27
PO000214,SUP012,PRD0063,WH05,72,72,179.71,12939.12,2024-09-25,2024-10-05,2024-10-04
PO000215,SUP024,PRD0011,WH01,1059,1059,100.18,106090.62,2025-03-02,2025-03-14,14-Mar-2025
PO000216,SUP003,PRD0048,WH06,1256,1173,374.7,"470,623.20",,2024-09-09,2024/09/27
PO000217,SUP020,PRD0055,WH03,798,594,270.14,215571.72,2024-08-24,2024/10/03,2024-09-30
PO000218,SUP017,PRD0080,WH04,586,586,,220646.58,2025-02-17,2025/02/26,2025-02-24
PO000219,SUP010,PRD0042,WH03,896,896,134.36,,23-Jan-2025,2025-02-12,11-Feb-2025
PO000220,SUP001,PRD0067,WH01,333,333,100.13,,2025-01-30,2025/02/11,2025-02-10
PO000221,SUP013,PRD0009,WH06,203,203,129.79,26347.37,2024-09-18,2024-09-30,2024-09-27
PO000222,SUP009,PRD0044,WH06,472,472,$216.50,"$102,188.00",2024-10-05,2024-10-16,13-Oct-2024
PO000223,SUP004,PRD0047,WH06,127,127,247.68,"$31,455.36",2024-01-07,22-Jan-2024,2024/01/21
PO000224,SUP006,PRD0004,WH01,1149,1149,$19.78,22727.22,2025-02-13,2025-03-18,2025-03-18
PO000225,SUP023,PRD0008,WH03,1266,1266,$300.70,"$380,686.20",01/26/2025,06-Feb-2025,2025-02-04
PO000226,SUP024,PRD0050,WH04,848,750,105.09,89116.32,2025-09-28,10/10/2025,2025-10-10
PO000227,SUP012,PRD0052,WH01,"1,248",906,$211.44,263877.12,2024-12-08,,2024-12-17
PO000228,SUP020,PRD0078,WH01,143,143,256.38,36662.34,2024-11-13,12/23/2024,2025-01-02
PO000229,SUP003,PRD0054,WH06,1328,1045,39.65,52655.2,16-Feb-2024,2024-03-22,2024-04-11
PO000230,SUP006,PRD0034,WH06,449,396,$103.51,,2024-05-13,2024-06-15,12-Jun-2024
PO000231,SUP001,PRD0062,WH06,1430,1430,184.46,263777.8,17-Aug-2024,08/29/2024,08/27/2024
PO000232,SUP020,PRD0078,WH05,602,525,256.38,154340.76,2024-09-13,2024-10-23,30-Oct-2024
PO000233,SUP006,PRD0070,WH05,,1036,340.52,352778.72,2024/09/03,2024-10-06,2024-10-17
PO000234,SUP021,PRD0001,WH02,1454,1032,358.98,521956.92,2024-09-24,2024-10-14,2024-10-26
PO000235,SUP016,PRD0061,WH03,1141,1141,53.16,60655.56,2025-06-06,06/25/2025,
PO000236,SUP017,PRD0026,WH04,765,765,,265959.9,2024/03/30,2024-04-08,2024-04-07
PO000237,SUP003,PRD0002,WH01,1370,1303,270.53,370626.1,2024-08-13,2024-09-17,2024/09/14
PO000238,SUP017,PRD0066,WH03,569,569,261.8,"$148,964.20",,29-Apr-2024,2024-04-29
PO000239,SUP012,PRD0052,WH03,"1,211","1,211",211.44,256053.84,2024-07-28,08/07/2024,2024-08-07
PO000240,SUP005,PRD0068,WH02,373,373,364.7,136033.1,2025-04-10,2025-04-22,2025-04-20
PO000241,SUP020,PRD0056,WH05,"1,099",1099,111.86,122934.14,2024-02-01,03/12/2024,10-Mar-2024
PO000242,SUP002,PRD0031,WH06,724,554,73.98,53561.52,2024-08-18,2024/09/06,2024-09-13
PO000243,SUP023,PRD0008,WH05,1231,1231,300.70,370161.7,01/17/2024,01/28/2024,2024-01-28
PO000244,SUP017,PRD0080,WH03,1051,1051,376.53,395733.03,2025-10-11,2025-10-20,2025-10-17
PO000245,SUP013,PRD0014,WH01,956,956,61.84,"$59,119.04",2025-05-09,,18-May-2025
PO000246,SUP021,PRD0049,WH06,624,624,239.5,149448.0,14-Jun-2024,04-Jul-2024,2024-07-03
PO000247,SUP020,PRD0064,WH04,868,868,48.68,42254.24,14-May-2024,2024-06-23,07/12/2024
PO000248,SUP002,PRD0028,WH05,"1,254",1254,239.8,300709.2,2024-03-08,2024-03-27,2024-03-27
PO000249,SUP002,PRD0028,WH05,158,158,239.8,37888.4,11/17/2024,2024-12-06,2024-12-06
PO000250,SUP012,PRD0041,WH05,1201,"1,201",,203773.67,05/27/2025,2025-06-06,06/05/2025
