SO_ID,CUSTOMER_KEY,PRODUCT_KEY,WAREHOUSE_KEY,SHIP_MODE_KEY,ORDER_QTY,SHIPPED_QTY,FREIGHT_COST,REVENUE,ORDER_DATE,SHIP_DATE,PROMISED_DATE,DELIVERY_DATE
SO0000059,CUST0054,PRD0072,WH03,SM1,110,110,421.8,12402.5,12/20/2024,2024-12-22,2024-12-27,06-Jan-2025
SO0000060,CUST0127,PRD0074,WH01,SM1,83,83,$425.20,9616.38,2024-10-31,2024-11-03,2024-11-08,2024-11-06
SO0000061,CUST0092,PRD0019,WH05,SM1,115,115,588.22,63169.5,2025-04-09,11-Apr-2025,04/16/2025,2025-04-22
SO0000062,CUST0072,PRD0038,WH02,SM4,271,259,212.31,117718.09,2024-12-03,04-Dec-2024,12/18/2024,2024/12/15
SO0000063,CUST0149,PRD0008,WH01,SM2,231,231,201.09,127045.38,2025-05-29,2025-06-01,2025-07-03,2025-07-01
SO0000064,CUST0007,PRD0034,WH05,SM3,288,288,350.31,48332.16,06/21/2025,2025-06-22,01-Jul-2025,2025-07-06
SO0000065,CUST0029,PRD0080,WH01,SM4,109,109,122.6,55261.91,28-May-2025,29-May-2025,12-Jun-2025,2025-06-15
SO0000066,CUST0021,PRD0014,WH04,SM3,64,64,112.07,"$4,983.04",2024-12-08,2024-12-09,2024-12-18,12/26/2024
SO0000067,CUST0073,PRD0002,WH04,SM4,30,30,29.06,11628.6,08/07/2024,2024-08-10,2024-08-24,2024-08-23
SO0000068,CUST0052,PRD0006,WH04,SM2,42,42,40.45,12400.08,05/11/2025,2025-05-14,2025-06-15,2025-06-13
SO0000069,CUST0094,PRD0067,WH02,SM1,180,180,830.38,24204.6,01/24/2024,01/26/2024,31-Jan-2024,2024-02-02
SO0000070,CUST0084,PRD0044,WH06,SM2,162,145,141.77,,2025-08-20,2025-08-23,2025-09-24,2025/09/23
SO0000071,CUST0046,PRD0007,WH04,SM1,,55,,1917.3,2025-09-03,2025-09-05,2025-09-10,18-Sep-2025
SO0000072,CUST0179,PRD0023,WH03,SM4,119,119,99.51,10242.33,11/03/2024,11/04/2024,2024-11-18,2024-11-17
SO0000073,CUST0115,PRD0055,WH02,SM3,10,10,16.16,3962.6,2024-09-26,29-Sep-2024,10/08/2024,2024-10-16
SO0000074,CUST0054,PRD0041,WH01,SM3,,43,75.12,10222.82,2024-05-18,2024-05-19,2024-05-28,2024-05-26
SO0000075,CUST0157,PRD0075,WH04,SM2,164,164,154.28,,2025-08-20,,2025-09-22,
SO0000076,CUST0147,PRD0061,WH03,SM1,144,144,551.66,12496.32,2024-01-29,2024-01-30,2024-02-04,2024-02-01
SO0000077,CUST0041,PRD0044,WH06,SM1,257,257,"$1,279.71",100240.28,11/11/2024,2024-11-14,2024-11-19,17-Nov-2024
SO0000078,CUST0057,PRD0041,WH02,SM1,153,153,791.17,"$36,374.22",2024-12-24,25-Dec-2024,2024-12-30,2024/12/28
SO0000079,CUST0163,PRD0042,WH01,SM3,218,218,408.24,43837.62,2024-11-12,2024-11-14,,11/22/2024
SO0000080,CUST0198,PRD0017,WH04,SM4,282,282,356.59,"$111,790.44",08/18/2025,2025-08-20,2025-09-03,09/01/2025
SO0000081,CUST0015,PRD0004,WH02,SM1,289,289,1408.92,9207.54,2024-04-27,2024-04-30,2024-05-05,04-May-2024
SO0000082,CUST0027,PRD0077,WH06,SM3,45,45,82.4,6580.8,2024-08-27,08/28/2024,2024-09-06,2024-09-03
SO0000083,CUST0188,PRD0064,WH06,SM2,260,260,229.71,,2025/06/11,2025-06-12,2025-07-14,2025-07-13
SO0000084,CUST0091,PRD0046,WH03,SM1,79,79,335.41,11419.45,2024-06-11,06/14/2024,2024-06-19,2024-06-18
SO0000085,CUST0054,PRD0047,WH04,SM3,292,292,465.29,"$94,873.72",08/12/2024,2024/08/14,2024-08-23,21-Aug-2024
SO0000086,CUST0085,PRD0025,WH01,SM3,187,187,267.71,46903.34,05-Sep-2025,2025-09-07,2025-09-16,2025-09-15
SO0000087,CUST0055,PRD0071,WH03,SM4,283,283,340.68,149463.62,2024-05-22,24-May-2024,2024/06/07,2024/06/05
SO0000088,CUST0082,PRD0044,WH05,SM4,258,258,230.03,100630.32,10-Jan-2024,2024-01-12,2024-01-26,24-Jan-2024
SO0000089,CUST0115,PRD0014,WH04,SM3,210,210,367.64,"$16,350.60",2024-05-06,2024-05-08,2024-05-17,2024-05-26
SO0000090,CUST0023,PRD0053,WH01,SM3,135,135,217.43,"60,573.15",2025-01-27,2025-01-29,02/07/2025,2025-02-06
SO0000091,CUST0045,PRD0031,WH01,SM1,247,247,"1,041.36",23474.88,2024-02-27,2024-02-29,,2024-03-03
SO0000092,CUST0119,PRD0076,WH03,SM1,125,125,512.7,75772.5,21-Sep-2025,2025-09-23,2025-09-28,09-Oct-2025
SO0000093,CUST0160,PRD0075,WH06,SM1,217,217,961.53,68773.81,2024-09-12,2024-09-13,2024-09-18,15-Sep-2024
SO0000094,CUST0112,PRD0060,WH05,SM4,223,223,234.61,"112,664.06",2025-01-03,2025-01-05,2025-01-19,2025-01-17
SO0000095,CUST0138,PRD0069,WH05,SM4,289,289,361.34,"12,065.75",2025-01-26,2025-01-28,2025-02-11,10-Feb-2025
SO0000096,CUST0119,PRD0010,WH01,SM1,278,278,903.92,20413.54,2025-01-13,2025-01-14,2025-01-19,2025-01-17
SO0000097,CUST0158,PRD0021,WH04,SM3,45,45,87.58,14413.5,24-Sep-2025,2025-09-26,2025/10/05,2025-10-03
SO0000098,CUST0130,PRD0014,WH04,SM4,296,296,376.87,"23,046.56",08/26/2025,2025-08-28,09/11/2025,21-Sep-2025
SO0000099,CUST0177,PRD0034,WH03,SM2,212,212,,35577.84,2025-02-27,2025-03-02,04/03/2025,2025/03/31
SO0000100,CUST0180,PRD0023,WH06,SM2,81,81,52.58,6971.67,2024-03-01,2024-03-04,2024-04-05,2024-04-03
SO0000101,CUST0069,PRD0070,WH04,SM2,286,286,203.37,125359.52,09-Mar-2024,2024-03-10,2024-04-11,04/08/2024
SO0000102,CUST0165,PRD0049,WH04,SM4,36,36,35.35,15163.56,2025-05-28,05/30/2025,2025/06/13,2025-06-11
SO0000103,CUST0197,PRD0034,WH03,SM3,142,142,215.86,23830.44,2025/02/06,02/09/2025,2025/02/18,2025-02-15
SO0000104,CUST0023,PRD0038,WH04,SM2,215,215,145.49,"97,719.65",10/15/2025,2025-10-18,2025-11-19,2025-11-24
SO0000105,CUST0008,PRD0076,WH04,SM4,71,71,56.99,"43,038.78",2024-03-10,2024-03-13,2024-03-27,2024-03-24
SO0000106,CUST0005,PRD0059,WH06,SM1,286,286,1096.85,83077.28,2025-04-25,04/26/2025,2025-05-01,2025-04-30
SO0000107,CUST0177,PRD0075,WH06,SM2,275,275,177.91,87155.75,2024-11-23,2024/11/24,2024-12-26,12/23/2024
SO0000108,CUST0103,PRD0058,WH02,SM3,111,82,99.14,"$38,699.08",2024-05-13,2024-05-16,2024-05-25,06/02/2024
SO0000109,CUST0021,PRD0020,WH01,SM2,14,14,13.33,5219.34,11/16/2024,2024-11-19,21-Dec-2024,2024-12-27
SO0000110,CUST0198,PRD0012,WH04,SM3,85,85,130.97,10565.5,2024-02-15,2024-02-16,2024-02-25,2024-02-24
SO0000111,CUST0071,PRD0009,WH05,SM3,57,57,81.6,12960.09,2024-03-20,03/21/2024,2024-03-30,2024/03/29
SO0000112,CUST0182,PRD0019,WH05,SM4,248,248,268.63,136226.4,2025-03-19,03/22/2025,2025-04-05,2025-04-02
SO0000113,CUST0078,PRD0008,WH03,SM3,249,249,-50.00,136945.02,2024-12-09,12/12/2024,12/21/2024,2024-12-18
SO0000114,CUST0078,PRD0003,WH05,SM3,126,,161.36,51331.14,2025-03-12,2025-03-14,2025-03-23,2025-03-20
SO0000115,CUST0031,PRD0007,WH04,SM2,203,203,187.6,7076.58,2025-03-18,21-Mar-2025,2025-04-22,04/26/2025
SO0000116,CUST0101,PRD0026,WH06,SM4,294,294,$360.35,157922.1,10/30/2025,2025-11-01,2025-11-15,11/13/2025
SO0000117,CUST0142,PRD0063,WH04,SM3,244,244,454.06,63418.04,01/24/2024,2024-01-27,2024-02-05,2024/02/14
SO0000118,CUST0021,PRD0030,WH06,SM3,127,127,227.61,11052.81,24-Aug-2024,2024-08-27,05-Sep-2024,2024-09-03
SO0000119,CUST0020,PRD0023,WH04,SM4,103,103,131.18,"$8,865.21",2025-03-01,2025-03-02,03/16/2025,2025-03-14
SO0000120,CUST0088,PRD0001,WH01,SM4,120,120,130.93,57774.0,2025-05-18,2025-05-20,06/03/2025,2025-06-01
SO0000121,CUST0031,PRD0079,WH01,SM4,28,28,27.6,"$5,645.92",2024-02-29,2024-03-01,15-Mar-2024,03/12/2024
SO0000122,CUST0127,PRD0046,WH04,SM2,172,172,111.97,24862.6,26-Sep-2024,09/28/2024,2024-10-30,2024-10-28
SO0000123,CUST0178,PRD0077,WH04,SM4,50,50,60.43,7312.0,2024/12/29,12/31/2024,2025-01-14,2025-01-17
SO0000124,CUST0028,PRD0049,WH04,SM1,96,96,410.19,40436.16,2024-12-16,12/18/2024,23-Dec-2024,2024-12-21
SO0000125,CUST0101,PRD0075,WH06,SM1,284,284,1456.22,90008.12,2025-10-12,2025-10-15,2025-10-20,2025-10-17
SO0000126,CUST0009,PRD0053,WH06,SM1,165,165,784.53,74033.85,2025-11-13,2025-11-16,2025-11-21,2025-12-01
SO0000127,CUST0102,PRD0069,WH06,SM4,151,151,126.15,6304.25,2024-12-30,01/02/2025,2025-01-16,2025/01/14
SO0000128,CUST0094,PRD0025,WH01,SM3,104,,$201.37,26085.28,,2024-05-31,2024-06-09,2024-06-08
SO0000129,CUST0059,PRD0066,WH04,SM4,162,162,148.85,55507.68,08-Dec-2024,2024-12-09,2024-12-23,2024-12-21
SO0000130,CUST0166,PRD0001,WH06,SM2,141,141,133.03,67884.45,2025-09-19,2025/09/22,2025-10-24,2025-10-22
SO0000131,CUST0032,PRD0018,WH04,SM4,149,149,153.19,34903.25,2024/12/11,2024/12/12,2024/12/26,12/25/2024
SO0000132,CUST0070,PRD0080,WH04,SM3,69,69,$132.11,34982.31,01-Oct-2024,2024-10-04,2024-10-13,10-Oct-2024
SO0000133,CUST0158,PRD0024,WH05,SM4,20,20,18.01,7057.4,2024-07-31,2024-08-02,2024/08/16,2024-08-15
SO0000134,CUST0036,PRD0055,WH05,SM3,166,166,$241.01,65779.16,2024-03-13,03/15/2024,2024-03-24,2024-03-21
SO0000135,CUST0126,PRD0032,WH06,SM4,111,111,129.47,25948.47,2024-12-06,2024-12-07,21-Dec-2024,2024-12-20
SO0000136,CUST0132,PRD0041,WH01,SM1,114,114,553.49,27102.36,2025-04-17,2025-04-20,25-Apr-2025,2025-04-23
SO0000137,CUST0078,PRD0070,WH03,SM2,247,247,239.86,108265.04,2024-01-02,2024-01-03,2024-02-04,2024-02-02
SO0000138,CUST0162,PRD0022,WH04,SM4,80,80,100.96,40115.2,2024-01-31,02/01/2024,15-Feb-2024,2024-02-14
SO0000139,CUST0015,PRD0008,WH04,SM2,233,233,200.52,"$128,145.34",2024-10-11,2024/10/13,2024-11-14,2024-11-13
SO0000140,CUST0039,PRD0027,WH02,SM4,85,66,68.34,"35,221.56",2024-07-24,07/27/2024,2024-08-10,2024-08-07
SO0000141,CUST0037,PRD0031,WH03,SM3,257,257,321.49,"$24,425.28",2025-11-20,23-Nov-2025,2025-12-02,2025-11-29
SO0000142,CUST0187,PRD0031,WH01,SM3,155,155,259.33,14731.2,2024-10-26,2024/10/28,11/06/2024,2024-11-03
SO0000143,CUST0042,PRD0026,WH04,SM2,80,80,77.2,42972.0,2024/12/15,2024-12-18,19-Jan-2025,17-Jan-2025
SO0000144,CUST0023,PRD0020,WH03,SM3,286,286,$415.71,"$106,623.66",2025-10-06,10/09/2025,18-Oct-2025,16-Oct-2025
SO0000145,CUST0096,PRD0061,WH03,SM4,197,197,175.87,17095.66,2025-04-11,2025-04-12,2025-04-26,2025-04-23
SO0000146,CUST0069,PRD0021,WH04,SM1,69,69,268.35,22100.7,2025-05-05,2025-05-08,05/13/2025,17-May-2025
SO0000147,CUST0111,PRD0016,WH06,SM1,124,124,402.3,40130.12,2024/11/19,2024-11-20,,2024-12-02
SO0000148,CUST0047,PRD0034,WH03,SM1,40,40,173.66,"$6,712.80",03-Oct-2024,04-Oct-2024,2024-10-09,2024-10-07
SO0000149,CUST0182,PRD0033,WH06,SM3,235,235,425.2,102492.9,2025-09-24,2025-09-27,,2025-10-03
SO0000150,CUST0127,PRD0030,WH02,SM3,95,86,111.96,7484.58,2024-11-04,2024-11-05,11/14/2024,2024-11-12
SO0000151,CUST0024,PRD0038,WH02,SM1,93,93,422.7,42269.43,2024/04/01,2024-04-02,07-Apr-2024,04/05/2024
SO0000152,CUST0122,PRD0005,WH04,SM1,295,295,1121.3,139290.15,2024-04-07,2024-04-09,04/14/2024,04/12/2024
SO0000153,CUST0051,PRD0058,WH03,SM4,192,192,247.64,90612.48,2025-11-20,2025-11-23,12/07/2025,2025-12-05
SO0000154,CUST0056,PRD0012,WH04,SM4,73,67,85.74,8328.1,06-Jul-2025,2025-07-09,2025-07-23,2025-07-20
SO0000155,CUST0063,PRD0002,WH04,SM3,52,52,67.53,20156.24,05-Jan-2025,2025/01/07,2025/01/16,2025-01-13
SO0000156,CUST0095,PRD0002,WH04,SM2,53,53,38.21,20543.86,02/25/2025,2025-02-28,01-Apr-2025,2025-03-29
SO0000157,CUST0191,PRD0054,WH06,SM2,248,248,221.12,16496.96,2024-06-22,2024-06-25,2024-07-27,2024-07-24
SO0000158,CUST0116,PRD0023,WH04,SM1,120,120,614.31,10328.4,,2025-05-11,2025-05-16,2025-05-19
SO0000159,CUST0169,PRD0077,WH04,SM2,297,297,308.01,43433.28,2025-09-01,2025/09/02,2025-10-04,2025-10-02
SO0000160,CUST0023,PRD0043,WH04,SM1,215,215,805.31,150708.55,2024-01-07,2024-01-09,2024-01-14,01/12/2024
SO0000161,CUST0121,PRD0021,WH02,SM4,218,218,$245.06,69825.4,2024-04-25,2024-04-28,2024-05-12,11-May-2024
SO0000162,CUST0063,PRD0068,WH04,SM4,227,227,229.72,138799.15,11/14/2025,15-Nov-2025,2025-11-29,27-Nov-2025
SO0000163,CUST0034,PRD0004,WH05,SM4,195,195,253.17,6212.7,08-Nov-2025,2025-11-10,2025-11-24,22-Nov-2025
SO0000164,CUST0039,PRD0050,WH04,SM3,293,293,447.11,50299.31,2025-06-04,2025-06-07,2025-06-16,06/14/2025
SO0000165,CUST0021,PRD0067,WH02,SM1,280,280,1263.7,37651.6,2024-02-08,2024-02-10,2024-02-15,2024-02-23
SO0000166,CUST0098,PRD0034,WH03,SM3,46,46,59.29,7719.72,2025/06/20,2025-06-23,2025-07-02,2025-06-30
SO0000167,CUST0170,PRD0070,WH03,SM4,77,77,62.23,33750.64,2024-04-13,2024-04-15,2024-04-29,04/27/2024
SO0000168,CUST0176,PRD0028,WH01,SM1,259,259,877.39,83535.27,2025-04-15,16-Apr-2025,2025-04-21,
SO0000169,CUST0109,PRD0019,WH04,SM4,100,83,75.26,45591.9,2024-02-12,2024-02-15,2024-02-29,2024/02/27
SO0000170,CUST0037,PRD0080,WH04,SM4,296,296,324.56,150069.04,2024-04-12,2024-04-14,2024-04-28,2024-04-26
SO0000171,CUST0037,PRD0079,WH01,SM1,32,30,143.75,"6,049.20",,17-Jul-2025,2025-07-22,2025/07/19
SO0000172,CUST0080,PRD0063,WH04,SM1,21,21,69.96,5458.11,2024-12-27,2024-12-30,2025-01-04,2025-01-02
SO0000173,CUST0066,PRD0013,WH04,SM4,287,287,358.54,64270.78,2024-06-23,2024-06-26,2024-07-10,07/07/2024
SO0000174,CUST0112,PRD0046,WH04,SM2,119,119,83.23,17201.45,11/01/2024,11/02/2024,2024/12/04,2024-12-01
SO0000175,CUST0113,PRD0063,WH05,SM3,44,44,59.53,11436.04,2025-01-22,01/25/2025,,01-Feb-2025
SO0000176,CUST0173,PRD0028,WH02,SM1,66,41,154.81,"13,223.73",2024-04-07,2024-04-10,04/15/2024,04/12/2024
SO0000177,CUST0101,PRD0055,WH02,SM2,283,257,188.1,101838.82,06/04/2024,2024-06-05,07-Jul-2024,2024-07-05
SO0000178,CUST0102,PRD0025,WH01,SM3,156,156,258.14,"$39,127.92",2025-04-05,2025-04-06,2025-04-15,2025-04-14
SO0000179,CUST0037,PRD0072,WH03,SM2,182,182,186.05,20520.5,30-Aug-2025,2025-09-02,2025-10-04,10/02/2025
SO0000180,CUST0139,PRD0005,WH04,SM3,167,167,270.14,78852.39,2024-11-01,2024/11/03,2024-11-12,2024-11-11
SO0000181,CUST0066,PRD0077,WH04,SM1,156,156,550.56,22813.44,,2025-09-14,2025-09-19,2025-09-16
SO0000182,CUST0199,PRD0069,WH05,SM4,110,110,106.5,4592.5,2024-09-18,19-Sep-2024,2024-10-03,2024/10/02
SO0000183,CUST0146,PRD0076,WH03,SM2,140,140,137.61,84865.2,2025-09-18,09/20/2025,2025-10-22,2025-10-19
SO0000184,CUST0001,PRD0007,WH04,SM2,176,176,125.6,6135.36,10/15/2024,2024-10-18,11/19/2024,16-Nov-2024
SO0000185,CUST0070,PRD0008,WH01,SM4,283,283,284.68,"$155,644.34",2024-11-20,2024/11/23,2024-12-07,2024-12-04
SO0000186,CUST0003,PRD0018,WH01,SM3,,39,$48.05,9135.75,2024-04-02,2024-04-03,12-Apr-2024,2024-04-19
SO0000187,CUST0180,PRD0054,WH06,SM4,105,98,,6518.96,2024-12-20,2024/12/21,01/04/2025,2025-01-01
SO0000188,CUST0035,PRD0044,WH06,SM4,23,23,24.85,8970.92,2025-11-07,2025/11/08,2025-11-22,2025-11-21
SO0000189,CUST0197,PRD0041,WH01,SM1,260,260,896.28,"61,812.40",2024-09-09,09/11/2024,2024-09-16,2024-09-13
SO0000190,CUST0106,PRD0059,WH06,SM2,130,130,120.42,37762.4,15-Apr-2025,2025/04/17,2025-05-19,17-May-2025
SO0000191,CUST0198,PRD0038,WH04,SM3,270,270,403.62,,2025-10-21,2025-10-24,,01-Nov-2025
SO0000192,CUST0093,PRD0069,WH06,SM2,135,135,99.34,5636.25,06-Apr-2025,2025/04/08,2025-05-10,2025-05-07
SO0000193,CUST0093,PRD0048,WH01,SM2,132,132,100.61,,25-Dec-2024,2024-12-28,2025/01/29,2025-01-28
SO0000194,CUST0090,PRD0054,WH06,SM4,,269,$220.08,17893.88,2025-11-16,,2025-12-02,01-Dec-2025
SO0000195,CUST0030,PRD0027,WH06,SM3,89,89,164.81,47495.74,2024-05-27,2024-05-29,2024-06-07,2024-06-05
SO0000196,CUST0111,PRD0030,WH06,SM1,222,,1128.39,19320.66,2024-01-23,2024-01-24,2024-01-29,2024-01-28
SO0000197,CUST0140,PRD0031,WH06,SM3,185,155,291.59,"$14,731.20",2025-01-05,2025-01-07,2025-01-16,13-Jan-2025
SO0000198,CUST0082,PRD0071,WH03,SM4,129,129,149.81,68130.06,2024/08/07,08/09/2024,2024-08-23,2024-08-22
SO0000199,CUST0150,PRD0037,WH04,SM1,48,48,$172.65,"$32,742.72",03/01/2025,2025-03-03,03/08/2025,2025/03/05
SO0000200,CUST0114,PRD0078,WH01,SM1,167,167,759.08,"69,450.29",01/19/2024,20-Jan-2024,2024-01-25,2024-01-23
SO0000201,CUST0066,PRD0076,WH04,SM1,59,59,285.37,35764.62,20-Jul-2024,07/21/2024,2024-07-26,2024-07-23
SO0000202,CUST0133,PRD0037,WH04,SM2,152,152,108.84,103685.28,2025-05-03,2025-05-05,2025-06-06,06/15/2025
