PO_ID,SUPPLIER_KEY,PRODUCT_KEY,WAREHOUSE_KEY,ORDER_DATE_KEY,PROMISED_DATE_KEY,RECEIVED_DATE_KEY,ORDER_QTY,RECEIVED_QTY,UNIT_COST,PO_AMOUNT
PO000023,SUP021,PRD0045,WH02,20240617,20240707,20240704,1335,1335,215.43,287599.05
PO000024,SUP025,PRD0075,WH05,20250916,20250926,20250926,217,217,246.56,53503.52
PO000025,SUP018,PRD0032,WH02,20250113,20250223,20250223,971,971,160.48,155826.08
PO000026,SUP008,PRD0043,WH02,20241105,20241116,20241113,897,897,379.8,340680.6
PO000027,SUP006,PRD0024,WH04,20251020,20251122,20251121,1036,1036,214.65,222377.4
PO000028,SUP002,PRD0072,WH03,20250214,20250305,20250305,915,915,84.7,77500.5
PO000029,SUP008,PRD0029,WH03,20250910,20250921,20250918,1275,1275,61.83,78833.25
PO000030,SUP013,PRD0009,WH05,20251031,20251112,20251111,1499,1499,129.79,194555.21
PO000031,SUP017,PRD0080,WH02,20240224,20240304,20240303,439,439,376.53,165296.67
PO000032,SUP018,PRD0017,WH03,20240902,20241013,20241013,784,716,296.9,232769.6
PO000033,SUP004,PRD0057,WH03,20250514,20250529,20250529,310,310,63.37,19644.7
PO000034,SUP004,PRD0012,WH05,20250706,20250721,20250719,1325,1325,75.81,100448.25
PO000035,SUP001,PRD0020,WH05,20240410,20240422,20240422,224,224,224.3,50243.2
PO000036,SUP006,PRD0004,WH03,20240804,20240906,20240928,519,468,19.78,10265.82
PO000037,SUP010,PRD0010,WH05,20250107,20250127,20250202,641,641,42.31,27120.71
PO000038,SUP013,PRD0053,WH01,20250627,20250709,20250708,1325,1325,241.84,320438.0
PO000039,SUP018,PRD0016,WH03,20240317,20240427,20240426,753,585,234.54,176608.62
PO000040,SUP008,PRD0043,WH05,20250212,20250223,20250222,1191,1191,379.8,452341.8
PO000041,SUP014,PRD0039,WH04,20240720,20240813,20240813,577,577,208.12,120085.24
PO000042,SUP024,PRD0079,WH04,20240527,20240608,20240606,1294,1294,124.03,160494.82
PO000043,SUP001,PRD0020,WH04,20241216,20241228,20250120,820,820,224.3,183926.0
PO000044,SUP006,PRD0004,WH04,20241008,20241110,20241130,1000,761,19.78,19780.0
PO000045,SUP001,PRD0023,WH05,20250308,20250320,20250320,1471,1471,48.11,70769.81
PO000046,SUP002,PRD0076,WH02,20240803,20240822,20240905,402,402,354.24,142404.48
PO000047,SUP003,PRD0054,WH05,20250713,20250817,20250816,280,280,39.65,11102.0
PO000048,SUP019,PRD0046,WH02,20240223,20240329,20240327,63,63,84.95,5351.85
PO000049,SUP003,PRD0002,WH02,20250809,20250913,20250912,950,683,270.53,257003.5
PO000050,SUP013,PRD0014,WH02,20240121,20240202,20240202,894,894,61.84,55284.96
PO000051,SUP021,PRD0005,WH03,20250515,20250604,20250604,1227,1160,324.26,397867.02
PO000052,SUP001,PRD0062,WH02,20240823,20240904,20240904,282,282,184.46,52017.72
PO000053,SUP018,PRD0016,WH02,20240917,20241028,20241112,324,235,234.54,75990.96
PO000054,SUP022,PRD0037,WH01,20240113,20240122,20240120,1070,1070,361.55,386858.5
PO000055,SUP013,PRD0053,WH04,20250422,20250504,20250504,294,294,241.84,71100.96
PO000056,SUP017,PRD0080,WH03,20240422,20240501,20240429,366,366,376.53,137809.98
PO000057,SUP004,PRD0021,WH05,20250324,20250408,20250408,113,113,170.55,19272.15
PO000058,SUP013,PRD0053,WH05,20250508,20250520,20250520,1067,1067,241.84,258043.28
PO000059,SUP018,PRD0017,WH02,20250728,20250907,20250904,346,260,296.9,102727.4
PO000060,SUP008,PRD0006,WH02,20250426,20250507,20250507,755,755,208.45,157379.75
PO000061,SUP003,PRD0077,WH03,20240724,20240828,20240908,1267,1102,77.5,98192.5
PO000062,SUP017,PRD0026,WH04,20250517,20250526,20250526,680,680,347.66,236408.8
PO000063,SUP020,PRD0059,WH04,20250715,20250824,20250821,60,42,194.35,11661.0
PO000064,SUP012,PRD0063,WH04,20240803,20240813,20240810,337,337,179.71,60562.27
PO000065,SUP001,PRD0062,WH02,20240325,20240406,20240406,1156,1156,184.46,213235.76
PO000066,SUP024,PRD0018,WH01,20250828,20250909,20250908,627,627,162.04,101599.08
PO000067,SUP005,PRD0013,WH06,20240410,20240422,20240422,1254,1254,127.58,159985.32
PO000068,SUP012,PRD0052,WH06,20250207,20250217,20250217,661,661,211.44,139761.84
PO000069,SUP001,PRD0062,WH01,20240609,20240621,20240620,448,448,184.46,82638.08
PO000070,SUP004,PRD0057,WH04,20240326,20240410,20240409,130,130,63.37,8238.1
PO000071,SUP010,PRD0058,WH01,20250611,20250701,20250629,260,218,293.23,76239.8
PO000072,SUP024,PRD0079,WH04,20240407,20240419,20240417,450,450,124.03,55813.5
PO000073,SUP002,PRD0031,WH02,20250331,20250419,20250416,706,706,73.98,52229.88
PO000074,SUP003,PRD0048,WH06,20250416,20250521,20250519,757,757,374.7,283647.9
PO000075,SUP013,PRD0009,WH03,20240210,20240222,20240222,302,302,129.79,39196.58
PO000076,SUP002,PRD0035,WH03,20240427,20240516,20240516,1402,1402,152.58,213917.16
PO000077,SUP010,PRD0042,WH05,20250624,20250714,20250713,1409,1409,134.36,189313.24
PO000078,SUP017,PRD0066,WH03,20241210,20241219,20241219,548,548,261.8,143466.4
PO000079,SUP010,PRD0010,WH06,20240323,20240412,20240409,1049,1049,42.31,44383.19
PO000080,SUP021,PRD0049,WH05,20251105,20251125,20251203,866,866,239.5,207407.0
PO000081,SUP020,PRD0055,WH01,20240629,20240808,20240807,1246,1246,270.14,336594.44
PO000082,SUP001,PRD0069,WH01,20240103,20240115,20240114,789,789,25.4,20040.6
PO000083,SUP002,PRD0028,WH02,20250920,20251009,20251009,1142,835,239.8,273851.6
PO000084,SUP003,PRD0002,WH06,20240112,20240216,20240308,1161,1161,270.53,314085.33
PO000085,SUP022,PRD0033,WH04,20250111,20250120,20250119,494,494,341.2,168552.8
PO000086,SUP004,PRD0021,WH04,20251106,20251121,20251120,110,110,170.55,18760.5
PO000087,SUP010,PRD0010,WH02,20250127,20250216,20250302,1466,1466,42.31,62026.46
PO000088,SUP025,PRD0075,WH02,20250201,20250211,20250209,742,742,246.56,182947.52
PO000089,SUP020,PRD0078,WH04,20240920,20241030,20241027,107,107,256.38,27432.66
PO000090,SUP002,PRD0028,WH06,20240327,20240415,20240412,866,866,239.8,207666.8
PO000091,SUP018,PRD0060,WH06,20250124,20250306,20250304,1260,1046,380.72,479707.2
PO000092,SUP004,PRD0047,WH06,20250902,20250917,20250914,1004,1004,247.68,248670.72
PO000093,SUP024,PRD0079,WH03,20240302,20240314,20240311,141,141,124.03,17488.23
PO000094,SUP006,PRD0034,WH02,20250821,20250923,20251003,710,710,103.51,73492.1
PO000095,SUP024,PRD0079,WH06,20241009,20241021,20241020,232,232,124.03,28774.96
PO000096,SUP021,PRD0049,WH04,20241230,20250119,20250118,581,581,239.5,139149.5
PO000097,SUP001,PRD0020,WH01,20240422,20240504,20240503,1088,1088,224.3,244038.4
PO000098,SUP004,PRD0057,WH06,20250226,20250313,20250312,302,302,63.37,19137.74
PO000099,SUP001,PRD0020,WH02,20240504,20240516,20240513,781,781,224.3,175178.3
PO000100,SUP021,PRD0036,WH04,20240704,20240724,20240723,54,54,25.52,1378.08
PO000101,SUP002,PRD0028,WH01,20250505,20250524,20250603,82,82,239.8,19663.6
PO000102,SUP022,PRD0037,WH06,20240204,20240213,20240212,932,932,361.55,336964.6
PO000103,SUP018,PRD0060,WH01,20241031,20241211,20241217,1326,1086,380.72,504834.72
PO000104,SUP024,PRD0022,WH03,20250208,20250220,20250217,837,837,322.72,270116.64
PO000105,SUP020,PRD0056,WH02,20240330,20240509,20240507,715,715,111.86,79979.9
PO000106,SUP012,PRD0052,WH01,20240719,20240729,20240727,1398,1398,211.44,295593.12
PO000107,SUP018,PRD0060,WH01,20240821,20241001,20241001,405,383,380.72,154191.6
PO000108,SUP017,PRD0026,WH03,20250327,20250405,20250402,593,593,347.66,206162.38
PO000109,SUP006,PRD0027,WH02,20251026,20251128,20251126,198,198,299.68,59336.64
PO000110,SUP006,PRD0070,WH01,20250722,20250824,20250822,746,746,340.52,254027.92
PO000111,SUP025,PRD0075,WH01,20240509,20240519,20240517,329,329,246.56,81118.24
PO000112,SUP020,PRD0078,WH05,20240113,20240222,20240301,638,638,256.38,163570.44
PO000113,SUP016,PRD0061,WH05,20240205,20240224,20240223,317,317,53.16,16851.72
PO000114,SUP004,PRD0057,WH03,20250209,20250224,20250222,251,251,63.37,15905.87
PO000115,SUP013,PRD0009,WH02,20240416,20240428,20240428,718,718,129.79,93189.22
PO000116,SUP006,PRD0004,WH04,20240606,20240709,20240708,199,165,19.78,3936.22
PO000117,SUP013,PRD0053,WH01,20250730,20250811,20250808,1215,1215,241.84,293835.6
PO000118,SUP004,PRD0047,WH06,20250817,20250901,20250830,663,663,247.68,164211.84
PO000119,SUP010,PRD0042,WH02,20250724,20250813,20250811,898,898,134.36,120655.28
PO000120,SUP006,PRD0070,WH06,20240621,20240724,20240722,122,122,340.52,41543.44
PO000121,SUP002,PRD0072,WH06,20250225,20250316,20250322,761,712,84.7,64456.7
PO000122,SUP003,PRD0048,WH05,20250219,20250326,20250407,603,516,374.7,225944.1
PO000123,SUP025,PRD0075,WH05,20240505,20240515,20240514,1110,1110,246.56,273681.6
PO000124,SUP006,PRD0027,WH02,20250111,20250213,20250220,598,598,299.68,179208.64
PO000125,SUP012,PRD0063,WH01,20241223,20250102,20250101,854,854,179.71,153472.34
PO000126,SUP012,PRD0041,WH04,20240926,20241006,20241005,700,700,169.67,118769.0
PO000127,SUP018,PRD0032,WH05,20250526,20250706,20250730,896,685,160.48,143790.08
PO000128,SUP017,PRD0026,WH02,20250405,20250414,20250413,853,853,347.66,296553.98
PO000129,SUP016,PRD0061,WH05,20241228,20250116,20250113,67,67,53.16,3561.72
PO000130,SUP006,PRD0004,WH06,20250508,20250610,20250610,316,316,19.78,6250.48
PO000131,SUP002,PRD0031,WH03,20250602,20250621,20250621,553,553,73.98,40910.94
PO000132,SUP020,PRD0056,WH03,20250120,20250301,20250228,108,87,111.86,12080.88
PO000133,SUP001,PRD0062,WH02,20240701,20240713,20240713,969,969,184.46,178741.74
PO000134,SUP008,PRD0029,WH01,20250530,20250610,20250609,262,262,61.83,16199.46
PO000135,SUP004,PRD0021,WH06,20250502,20250517,20250514,548,548,170.55,93461.4
PO000136,SUP004,PRD0021,WH05,20251030,20251114,20251112,283,283,170.55,48265.65
PO000137,SUP001,PRD0023,WH05,20240411,20240423,20240422,1015,1015,48.11,48831.65
PO000138,SUP017,PRD0019,WH02,20241012,20241021,20241020,111,111,382.47,42454.17
PO000139,SUP004,PRD0057,WH04,20250920,20251005,20251003,150,150,63.37,9505.5
PO000140,SUP016,PRD0061,WH05,20241215,20250103,20250103,345,311,53.16,18340.2
PO000141,SUP008,PRD0043,WH04,20251002,20251013,20251013,1361,1361,379.8,516907.8
PO000142,SUP016,PRD0051,WH04,20240109,20240128,20240127,577,577,72.66,41924.82
PO000143,SUP006,PRD0034,WH04,20240124,20240226,20240226,256,240,103.51,26498.56
PO000144,SUP002,PRD0035,WH06,20250625,20250714,20250712,1186,1186,152.58,180959.88
PO000145,SUP003,PRD0002,WH02,20240831,20241005,20241003,1495,1495,270.53,404442.35
PO000146,SUP003,PRD0048,WH04,20241219,20250123,20250206,1038,1038,374.7,388938.6
PO000147,SUP020,PRD0059,WH05,20241018,20241127,20241126,1252,1252,194.35,243326.2
PO000148,SUP008,PRD0065,WH05,20241004,20241015,20241015,323,323,335.57,108389.11
PO000149,SUP021,PRD0005,WH05,20250930,20251020,20251017,326,326,324.26,105708.76
PO000150,SUP006,PRD0024,WH06,20240304,20240406,20240404,612,505,214.65,131365.8
PO000151,SUP010,PRD0010,WH03,20250609,20250629,20250627,502,502,42.31,21239.62
PO000152,SUP008,PRD0030,WH05,20250827,20250907,20250906,1038,1038,65.68,68175.84
PO000153,SUP024,PRD0050,WH03,20250323,20250404,20250401,851,851,105.09,89431.59
PO000154,SUP012,PRD0041,WH03,20240925,20241005,20241005,378,378,169.67,64135.26
PO000155,SUP002,PRD0072,WH02,20240418,20240507,20240506,530,530,84.7,44891.0
PO000156,SUP004,PRD0057,WH05,20250409,20250424,20250422,95,70,63.37,6020.15
PO000157,SUP006,PRD0004,WH03,20241114,20241217,20241217,759,532,19.78,15013.02
PO000158,SUP019,PRD0074,WH06,20240411,20240516,20240516,1428,1357,81.25,116025.0
PO000159,SUP004,PRD0012,WH04,20240901,20240916,20240913,692,692,75.81,52460.52
PO000160,SUP017,PRD0026,WH03,20251015,20251024,20251022,183,183,347.66,63621.78
PO000161,SUP014,PRD0039,WH02,20240629,20240723,20240811,275,275,208.12,57233.0
PO000162,SUP002,PRD0031,WH05,20240501,20240520,20240517,1121,866,73.98,82931.58
PO000163,SUP001,PRD0020,WH05,20250408,20250420,20250419,829,829,224.3,185944.7
PO000164,SUP008,PRD0006,WH01,20240515,20240526,20240525,1133,1133,208.45,236173.85
PO000165,SUP003,PRD0077,WH06,20250917,20251022,20251019,308,231,77.5,23870.0
PO000166,SUP024,PRD0011,WH01,20250807,20250819,20250818,210,210,100.18,21037.8
PO000167,SUP016,PRD0061,WH05,20251030,20251118,20251116,1224,1224,53.16,65067.84
PO000168,SUP020,PRD0038,WH01,20250912,20251022,20251021,190,190,258.78,49168.2
PO000169,SUP012,PRD0052,WH01,20240614,20240624,20240624,351,351,211.44,74215.44
PO000170,SUP021,PRD0005,WH01,20240524,20240613,20240610,703,703,324.26,227954.78
PO000171,SUP013,PRD0053,WH06,20240820,20240901,20240829,50,50,241.84,12092.0
PO000172,SUP025,PRD0075,WH03,20241115,20241125,20241123,1373,1373,246.56,338526.88
PO000173,SUP017,PRD0066,WH01,20250821,20250830,20250829,1131,1131,261.8,296095.8
PO000174,SUP019,PRD0074,WH04,20250513,20250617,20250617,518,397,81.25,42087.5
PO000175,SUP019,PRD0074,WH06,20250314,20250418,20250415,84,84,81.25,6825.0
PO000176,SUP005,PRD0068,WH02,20250820,20250901,20250831,213,213,364.7,77681.1
PO000177,SUP002,PRD0028,WH06,20250315,20250403,20250331,294,294,239.8,70501.2
PO000178,SUP006,PRD0070,WH05,20240914,20241017,20241030,196,196,340.52,66741.92
PO000179,SUP005,PRD0007,WH03,20241007,20241019,20241017,209,156,22.74,4752.66
PO000180,SUP014,PRD0039,WH02,20241217,20250110,20250109,876,876,208.12,182313.12
PO000181,SUP001,PRD0023,WH02,20240301,20240313,20240311,1026,1026,48.11,49360.86
PO000182,SUP001,PRD0069,WH06,20250519,20250531,20250528,337,337,25.4,8559.8
PO000183,SUP024,PRD0071,WH05,20250319,20250331,20250329,1270,1270,309.98,393674.6
PO000184,SUP005,PRD0068,WH03,20250512,20250524,20250522,1140,1140,364.7,415758.0
PO000185,SUP024,PRD0018,WH04,20241229,20250110,20250109,51,43,162.04,8264.04
PO000186,SUP003,PRD0002,WH04,20250616,20250721,20250725,848,848,270.53,229409.44
PO000187,SUP021,PRD0005,WH06,20251007,20251027,20251027,1022,1022,324.26,331393.72
PO000188,SUP002,PRD0072,WH02,20250122,20250210,20250208,557,557,84.7,47177.9
PO000189,SUP017,PRD0019,WH04,20241029,20241107,20241107,488,488,382.47,186645.36
PO000190,SUP002,PRD0028,WH05,20240312,20240331,20240329,1397,1397,239.8,335000.6
PO000191,SUP016,PRD0051,WH01,20250613,20250702,20250702,1402,1402,72.66,101869.32
PO000192,SUP024,PRD0050,WH04,20250906,20250918,20250917,331,331,105.09,34784.79
PO000193,SUP021,PRD0005,WH01,20250420,20250510,20250509,776,611,324.26,251625.76
PO000194,SUP021,PRD0001,WH01,20250811,20250831,20250916,1031,931,358.98,370108.38
PO000195,SUP020,PRD0038,WH05,20250808,20250917,20250916,520,464,258.78,134565.6
PO000196,SUP021,PRD0036,WH06,20250626,20250716,20250713,477,477,25.52,12173.04
PO000197,SUP002,PRD0076,WH04,20241207,20241226,20241225,1197,1197,354.24,424025.28
PO000198,SUP019,PRD0046,WH01,20240308,20240412,20240409,968,785,84.95,82231.6
PO000199,SUP004,PRD0015,WH04,20240103,20240118,20240118,820,820,272.68,223597.6
PO000200,SUP006,PRD0024,WH06,20240518,20240620,20240705,844,844,214.65,181164.6
PO000201,SUP008,PRD0006,WH01,20241020,20241031,20241030,672,672,208.45,140078.4
PO000202,SUP021,PRD0049,WH01,20250520,20250609,20250609,465,465,239.5,111367.5
PO000203,SUP021,PRD0036,WH04,20241105,20241125,20241122,688,594,25.52,17557.76
PO000204,SUP024,PRD0079,WH01,20240116,20240128,20240126,502,502,124.03,62263.06
PO000205,SUP013,PRD0014,WH04,20240523,20240604,20240604,931,931,61.84,57573.04
PO000206,SUP024,PRD0050,WH05,20251027,20251108,20251107,490,490,105.09,51494.1
PO000207,SUP020,PRD0059,WH02,20251102,20251212,20251209,153,153,194.35,29735.55
PO000208,SUP006,PRD0034,WH05,20240913,20241016,20241013,1081,1081,103.51,111894.31
PO000209,SUP004,PRD0015,WH04,20250701,20250716,20250713,1205,1205,272.68,328579.4
PO000210,SUP021,PRD0005,WH03,20250504,20250524,20250524,379,379,324.26,122894.54
PO000211,SUP017,PRD0066,WH01,20250925,20251004,20251002,314,314,261.8,82205.2
PO000212,SUP024,PRD0011,WH03,20250826,20250907,20250904,572,572,100.18,57302.96
PO000213,SUP003,PRD0077,WH02,20250303,20250407,20250427,1209,1209,77.5,93697.5
PO000214,SUP012,PRD0063,WH05,20240925,20241005,20241004,72,72,179.71,12939.12
PO000215,SUP024,PRD0011,WH01,20250302,20250314,20250314,1059,1059,100.18,106090.62
PO000216,SUP003,PRD0048,WH06,20240805,20240909,20240927,1256,1173,374.7,470623.2
PO000217,SUP020,PRD0055,WH03,20240824,20241003,20240930,798,594,270.14,215571.72
PO000218,SUP017,PRD0080,WH04,20250217,20250226,20250224,586,586,376.53,220646.58
PO000219,SUP010,PRD0042,WH03,20250123,20250212,20250211,896,896,134.36,120386.56
PO000220,SUP001,PRD0067,WH01,20250130,20250211,20250210,333,333,100.13,33343.29
PO000221,SUP013,PRD0009,WH06,20240918,20240930,20240927,203,203,129.79,26347.37
PO000222,SUP009,PRD0044,WH06,20241005,20241016,20241013,472,472,216.5,102188.0
PO000223,SUP004,PRD0047,WH06,20240107,20240122,20240121,127,127,247.68,31455.36
PO000224,SUP006,PRD0004,WH01,20250213,20250318,20250318,1149,1149,19.78,22727.22
PO000225,SUP023,PRD0008,WH03,20250126,20250206,20250204,1266,1266,300.7,380686.2
PO000226,SUP024,PRD0050,WH04,20250928,20251010,20251010,848,750,105.09,89116.32
PO000227,SUP012,PRD0052,WH01,20241208,20241218,20241217,1248,906,211.44,263877.12
PO000228,SUP020,PRD0078,WH01,20241113,20241223,20250102,143,143,256.38,36662.34
PO000229,SUP003,PRD0054,WH06,20240216,20240322,20240411,1328,1045,39.65,52655.2
PO000230,SUP006,PRD0034,WH06,20240513,20240615,20240612,449,396,103.51,46475.99
PO000231,SUP001,PRD0062,WH06,20240817,20240829,20240827,1430,1430,184.46,263777.8
PO000232,SUP020,PRD0078,WH05,20240913,20241023,20241030,602,525,256.38,154340.76
PO000233,SUP006,PRD0070,WH05,20240903,20241006,20241017,1036,1036,340.52,352778.72
PO000234,SUP021,PRD0001,WH02,20240924,20241014,20241026,1454,1032,358.98,521956.92
PO000235,SUP016,PRD0061,WH03,20250606,20250625,20250623,1141,1141,53.16,60655.56
PO000236,SUP017,PRD0026,WH04,20240330,20240408,20240407,765,765,347.66,265959.9
PO000237,SUP003,PRD0002,WH01,20240813,20240917,20240914,1370,1303,270.53,370626.1
PO000238,SUP017,PRD0066,WH03,20240420,20240429,20240429,569,569,261.8,148964.2
PO000239,SUP012,PRD0052,WH03,20240728,20240807,20240807,1211,1211,211.44,256053.84
PO000240,SUP005,PRD0068,WH02,20250410,20250422,20250420,373,373,364.7,136033.1
PO000241,SUP020,PRD0056,WH05,20240201,20240312,20240310,1099,1099,111.86,122934.14
PO000242,SUP002,PRD0031,WH06,20240818,20240906,20240913,724,554,73.98,53561.52
PO000243,SUP023,PRD0008,WH05,20240117,20240128,20240128,1231,1231,300.7,370161.7
PO000244,SUP017,PRD0080,WH03,20251011,20251020,20251017,1051,1051,376.53,395733.03
PO000245,SUP013,PRD0014,WH01,20250509,20250521,20250518,956,956,61.84,59119.04
PO000246,SUP021,PRD0049,WH06,20240614,20240704,20240703,624,624,239.5,149448.0
PO000247,SUP020,PRD0064,WH04,20240514,20240623,20240712,868,868,48.68,42254.24
PO000248,SUP002,PRD0028,WH05,20240308,20240327,20240327,1254,1254,239.8,300709.2
PO000249,SUP002,PRD0028,WH05,20241117,20241206,20241206,158,158,239.8,37888.4
PO000250,SUP012,PRD0041,WH05,20250527,20250606,20250605,1201,1201,169.67,203773.67
PO000251,SUP006,PRD0034,WH02,20250201,20250306,20250304,644,597,103.51,66660.44
PO000252,SUP014,PRD0039,WH05,20250822,20250915,20250913,581,581,208.12,120917.72
PO000253,SUP020,PRD0038,WH05,20240821,20240930,20240928,811,714,258.78,209870.58
PO000254,SUP024,PRD0071,WH02,20240708,20240720,20240718,997,997,309.98,309050.06
PO000255,SUP017,PRD0019,WH01,20241121,20241130,20241130,793,793,382.47,303298.71
PO000256,SUP005,PRD0007,WH02,20240517,20240529,20240529,532,532,22.74,12097.68
PO000257,SUP012,PRD0052,WH04,20251025,20251104,20251101,1339,1339,211.44,283118.16
PO000258,SUP024,PRD0071,WH02,20240506,20240518,20240518,1188,1108,309.98,368256.24
PO000259,SUP013,PRD0009,WH01,20241121,20241203,20241201,112,112,129.79,14536.48
PO000260,SUP005,PRD0068,WH04,20241220,20250101,20241230,853,853,364.7,311089.1
PO000261,SUP020,PRD0038,WH04,20240208,20240319,20240317,986,869,258.78,255157.08
PO000262,SUP004,PRD0047,WH02,20241114,20241129,20241127,1087,1087,247.68,269228.16
PO000263,SUP024,PRD0018,WH02,20241105,20241117,20241116,469,469,162.04,75996.76
PO000264,SUP020,PRD0038,WH01,20240625,20240804,20240801,742,742,258.78,192014.76
PO000265,SUP021,PRD0036,WH02,20240328,20240417,20240417,457,457,25.52,11662.64
PO000266,SUP024,PRD0018,WH02,20240131,20240212,20240211,1441,1441,162.04,233499.64
PO000267,SUP002,PRD0031,WH01,20240106,20240125,20240123,279,279,73.98,20640.42
PO000268,SUP003,PRD0077,WH01,20241123,20241228,20250118,903,903,77.5,69982.5
PO000269,SUP008,PRD0043,WH06,20240302,20240313,20240312,1176,1176,379.8,446644.8
PO000270,SUP004,PRD0012,WH06,20251014,20251029,20251029,138,138,75.81,10461.78
PO000271,SUP009,PRD0044,WH01,20240615,20240626,20240626,1206,1206,216.5,261099.0
PO000272,SUP024,PRD0022,WH06,20250319,20250331,20250328,954,954,322.72,307874.88
PO000273,SUP001,PRD0062,WH01,20250402,20250414,20250413,201,201,184.46,37076.46
PO000274,SUP021,PRD0045,WH02,20241202,20241222,20241221,912,912,215.43,196472.16
PO000275,SUP024,PRD0071,WH05,20250823,20250904,20250901,474,474,309.98,146930.52
PO000276,SUP004,PRD0057,WH01,20240316,20240331,20240331,488,488,63.37,30924.56
PO000277,SUP014,PRD0039,WH02,20240608,20240702,20240701,1235,1235,208.12,257028.2
PO000278,SUP001,PRD0020,WH01,20240620,20240702,20240719,409,409,224.3,91738.7
PO000279,SUP003,PRD0048,WH02,20240402,20240507,20240504,851,851,374.7,318869.7
PO000280,SUP019,PRD0046,WH03,20240719,20240823,20240823,1262,1085,84.95,107206.9
PO000281,SUP020,PRD0064,WH01,20240731,20240909,20241001,104,104,48.68,5062.72
PO000282,SUP013,PRD0014,WH01,20250604,20250616,20250615,584,584,61.84,36114.56
PO000283,SUP019,PRD0073,WH03,20240724,20240828,20240827,714,714,253.85,181248.9
PO000284,SUP008,PRD0043,WH03,20250819,20250830,20250830,841,841,379.8,319411.8
PO000285,SUP006,PRD0034,WH05,20250609,20250712,20250712,70,70,103.51,7245.7
PO000286,SUP024,PRD0079,WH03,20250905,20250917,20250917,1056,1056,124.03,130975.68
PO000287,SUP008,PRD0006,WH05,20240312,20240323,20240321,950,950,208.45,198027.5
PO000288,SUP006,PRD0024,WH03,20251031,20251203,20251202,826,794,214.65,177300.9
PO000289,SUP020,PRD0055,WH02,20250221,20250402,20250413,550,550,270.14,148577.0
PO000290,SUP003,PRD0002,WH04,20251030,20251204,20251201,831,657,270.53,224810.43
PO000291,SUP024,PRD0050,WH05,20240829,20240910,20240909,111,111,105.09,11664.99
PO000292,SUP008,PRD0043,WH06,20251010,20251021,20251020,206,206,379.8,78238.8
PO000293,SUP020,PRD0055,WH06,20250204,20250316,20250409,879,879,270.14,237453.06
PO000294,SUP001,PRD0062,WH04,20240218,20240301,20240227,1298,1298,184.46,239429.08
PO000295,SUP012,PRD0041,WH03,20241005,20241015,20241014,875,875,169.67,148461.25
PO000296,SUP012,PRD0041,WH01,20240403,20240413,20240412,1000,1000,169.67,169670.0
PO000297,SUP002,PRD0031,WH05,20251002,20251021,20251102,1152,1152,73.98,85224.96
PO000298,SUP019,PRD0074,WH01,20240726,20240830,20240829,224,224,81.25,18200.0
PO000299,SUP017,PRD0080,WH01,20240531,20240609,20240608,1128,1128,376.53,424725.84
PO000300,SUP020,PRD0038,WH06,20250110,20250219,20250310,242,224,258.78,62624.76
PO000301,SUP013,PRD0009,WH06,20241016,20241028,20241027,219,219,129.79,28424.01
